MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
G3O-30813-MONOMER	G3O-30813	P53261	NucleOlar Protein	
G3O-31953-MONOMER	G3O-31953	P25296	CalciNeurin subunit B	
G3O-33355-MONOMER	G3O-33355	P53740	YNR048W	
MONOMER3O-103	G3O-102	P07143	cytochrome c1	CYT1
G3O-30171-MONOMER	G3O-30171	Q02197	MAintenance of Killer	
G3O-32345-MONOMER	G3O-32345	P13099	TOPoisomerase	
G3O-29323-MONOMER	G3O-29323	P25349	Unknown	
YGR147C-MONOMER	YGR147C	P37293	N-terminal methionine <i>N</i><sub>&alpha;</sub>-acetyltransferase NAT2	
G3O-33751-MONOMER	G3O-33751	P09032	General Control Derepressed	
G3O-31238-MONOMER	G3O-31238	P0CX19	Unknown	
G3O-31698-MONOMER	G3O-31698	P47117	Actin-Related Protein	
G3O-28995-MONOMER	G3O-28995	P38124	FLuconazole Resistance	
G3O-34152-MONOMER	G3O-34152	P33311	MultiDrug resistance-Like	
G3O-30593-MONOMER	G3O-30593	P53148	Spindle Pole Component	
G3O-32787-MONOMER	G3O-32787	Q04299	YMR087W	
YOR142W-MONOMER	YOR142W	P53598	alpha subunit of succinyl-CoA ligase	
G3O-29709-MONOMER	G3O-29709	Q04562	TransMembrane Nine	
G3O-33192-MONOMER	G3O-33192	P53878	YNL181W	
G3O-31014-MONOMER	G3O-31014	Q8TGU1	Unknown	
G3O-32123-MONOMER	G3O-32123	P04802	DPS1	
G3O-29956-MONOMER	G3O-29956	P16151	Endoplasmic reticulum Retention Defective	
YBR115C-MONOMER	YBR115C	P07702	L-2-aminoadipate reductase	&alpha; aminoadipate reductase
G3O-29133-MONOMER	G3O-29133	Q02753	Ribosomal Protein of the Large subunit	
G3O-32492-MONOMER	G3O-32492	Q06672	Twenty S rRNA accumulation	
G3O-33588-MONOMER	G3O-33588	Q08416	Increased Recombination Centers	
G3O-31529-MONOMER	G3O-31529	P40361	Unknown	
YJR153W-MONOMER	YJR153W	P47180	endo-polygalacturonase	
G3O-33990-MONOMER	G3O-33990	P48582	BCK1-like Resistance to Osmotic shock	
G3O-32932-MONOMER	G3O-32932	P08468	PETite colonies	
G3O-30413-MONOMER	G3O-30413	P43551	YFL052W	
G3O-33339-MONOMER	G3O-33339	P11655	SECretory	
G3O-29545-MONOMER	G3O-29545	Q99207	NucleOlar Protein	
G3O-30154-MONOMER	G3O-30154	P24279	MiniChromosome Maintenance	
G3O-29305-MONOMER	G3O-29305	P25579	Laminarase REsistance	
G3O-30797-MONOMER	G3O-30797	Q3E757	Ribosomal Protein of the Large subunit	
G3O-31937-MONOMER	G3O-31937	P35996	Mitochondrial Ribosomal Protein, Large subunit	
G3O-33735-MONOMER	G3O-33735	Q08641	Actin Binding Protein	
G3O-31682-MONOMER	G3O-31682	P19211	ANaeroBically induced	
MONOMER-15578	G-11954	P40487	diphthamide biosynthesis protein 1	diphthamide biosynthesis protein 1
G3O-32329-MONOMER	G3O-32329	P53378	TUBulin	
G3O-34135-MONOMER	G3O-34135	Q12344	Gtpase-activating protein for Ypt Proteins	
G3O-30577-MONOMER	G3O-30577	P05737	Ribosomal Protein of the Large subunit	
YGL248W-MONOMER	YGL248W	P22434	3',5'-cyclic-nucleotide phosphodiesterase, low affinity	
G3O-31222-MONOMER	G3O-31222	P38880	Mitochondrial Distribution and Morphology	
G3O-29692-MONOMER	G3O-29692	P35178	Ribosomal RNA Processing	
G3O-28979-MONOMER	G3O-28979	P38175	Mitochondrial Ribosomal Protein	
G3O-30944-MONOMER	G3O-30944	P53049	Yeast Oligomycin Resistance	
G3O-32104-MONOMER	G3O-32104	Q2V2P2	Unknown	
G3O-32771-MONOMER	G3O-32771	Q04751	N-AcetylTransferase	
YOL141W-MONOMER	YOL141W	Q08282	tRNA wybutosine-synthesizing protein 4	carboxy methyl transferase
YBR011C-MONOMER	YBR011C	P00817	inorganic pyrophosphatase	
G3O-32476-MONOMER	G3O-32476	Q06991	Plasma membrane protein Upregulated during Nitrogen stress	
G3O-33176-MONOMER	G3O-33176	P38616	Yeast GlycoProtein	
YJR051W-MONOMER	YJR051W	P21375	fumarate reductase (NADH)	
G3O-29940-MONOMER	G3O-29940	P06844	SuPpressor of Ty's	
G3O-29117-MONOMER	G3O-29117	P32590	SSE2	
G3O-31388-MONOMER	G3O-31388	P40462	Translation Machinery Associated	
G3O-33572-MONOMER	G3O-33572	P53687	histone acetyllysine <i>N</i>-acetyltransferase HST3	
G3O-32916-MONOMER	G3O-32916	P11745	RaN GTPase Activating protein	
G3O-31513-MONOMER	G3O-31513	P47048	Unknown	
G3O-33323-MONOMER	G3O-33323	P40342	Synthetic With mud2-delta	
G3O-33974-MONOMER	G3O-33974	Q02767	Vacuolar Protein Sorting	
G3O-30137-MONOMER	G3O-30137	P03069	General Control Nonderepressible	
G3O-29289-MONOMER	G3O-29289	P25367	Rich in asparagine (N) and glutamine (Q)	
G3O-30394-MONOMER	G3O-30394	Q3E7A2	Unknown	
G3O-33719-MONOMER	G3O-33719	P38630	Replication Factor C	
G3O-29529-MONOMER	G3O-29529	P10622	Ribosomal Protein P1 Beta	
G3O-30781-MONOMER	G3O-30781	P53243	Unknown	
G3O-31662-MONOMER	G3O-31662	P47093	Like SM	
G3O-34119-MONOMER	G3O-34119	P32867	SSO1	
G3O-31921-MONOMER	G3O-31921	P36062	Amino acid Vacuolar Transport	
G3O-34378-MONOMER	G3O-34378	P00856	ATP synthase	
G3O-30561-MONOMER	G3O-30561	P53176	Multicopy suppressor of Sec Twenty one	
G3O-32313-MONOMER	G3O-32313	P80667	PEroXin	
G3O-29676-MONOMER	G3O-29676	P32571	Degradation Of Alpha	
YGL067W-MONOMER	YGL067W	P53164	NADH pyrophosphatase 1	
G3O-30928-MONOMER	G3O-30928	P07276	RADiation sensitive	
G3O-32066-MONOMER	G3O-32066	P0CE69	YKR104W	
G3O-31206-MONOMER	G3O-31206	P38863	Spindle Pole Component	
G3O-28963-MONOMER	G3O-28963	P38187	UBiquitin-specific Protease	
YAR015W-MONOMER	YAR015W	P27616		Ade1
G3O-32459-MONOMER	G3O-32459	Q06032	Chromosome STability	
G3O-32753-MONOMER	G3O-32753	Q04659	Chromosome Segregation in Meiosis	
YNR057C-MONOMER	YNR057C	P53630	dethiobiotin synthetase	
YJL153C-MONOMER	YJL153C	P11986	L-myo-inositol-1-phosphate synthase subunit	
G3O-31372-MONOMER	G3O-31372	P23250	Ras-cAMP Pathway Inhibitor	
G3O-33160-MONOMER	G3O-33160	P41948	MEP2	
YAL054C-MONOMER	YAL054C	Q01574	acetyl CoA synthetase 1	
G3O-29924-MONOMER	G3O-29924	Q06390	Unknown	
G3O-32456-MONOMER	G3O-32456	Q06011	ExtraCellular Mutant	
G3O-29100-MONOMER	G3O-29100	P38280	YSW1	
G3O-33556-MONOMER	G3O-33556	Q12094	Twenty S rRNA accumulation	
YJL126W-MONOMER	YJL126W	P47016	nitrilase	
G3O-31369-MONOMER	G3O-31369	P40477	NUclear Pore	
G3O-31497-MONOMER	G3O-31497	P47062	Unknown	
G3O-33958-MONOMER	G3O-33958	Q03308	Vacuolar Protein Sorting	
G3O-32897-MONOMER	G3O-32897	P25303	S. Cerevisiae DnaJ	
G3O-33302-MONOMER	G3O-33302	P32453	ATP synthase	
G3O-30349-MONOMER	G3O-30349	P52870	Sec61 beta homolog 1	
G3O-29513-MONOMER	G3O-29513	Q07528	AuTophaGy related	
G3O-30115-MONOMER	G3O-30115	P0C5L6	Unknown	
G3O-30765-MONOMER	G3O-30765	P33339	Transcription Factor class C	
G3O-29265-MONOMER	G3O-29265	Q8TGU5	Unknown	
G3O-31905-MONOMER	G3O-31905	P32342	Signal Recognition Particle	
G3O-33700-MONOMER	G3O-33700	Q08562	Ubiquitin Ligase for SUMO conjugates	
G3O-34361-MONOMER	G3O-34361	Q3E752	Unknown	
G3O-31643-MONOMER	G3O-31643	P40885	HeXose Transporter	
G3O-32297-MONOMER	G3O-32297	P05759	Ribosomal Protein of the Small subunit	
G3O-34100-MONOMER	G3O-34100	P38991	Increase in PLoidy	
YFR047C-MONOMER	YFR047C	P43619		
G3O-30541-MONOMER	G3O-30541	P43633	ALK1	
G3O-31190-MONOMER	G3O-31190	P38851	Yeast Suicide Protein	
G3O-29657-MONOMER	G3O-29657	Q03125	Negative Regulator of Glucose-repressed genes	
G3O-28947-MONOMER	G3O-28947	P34216	EH Domains and Endocytosis	
G3O-30909-MONOMER	G3O-30909	P50085	ProHiBitin	
G3O-32734-MONOMER	G3O-32734	Q05040	Factor ARrest	
G3O-32047-MONOMER	G3O-32047	P32769	Hsp70 subfamily B Suppressor	
YNL238W-MONOMER	YNL238W	P13134	Ca2+-dependent serine protease	YscF
MONOMER3O-85	G3O-33	P40857	very-long-chain 3-hydroxyacyl-CoA dehydratase	PTPLA Homolog involved in Sphingolipid biosynthesis 1
G3O-32440-MONOMER	G3O-32440	P51862	RhO1 Multicopy suppressor	
G3O-33143-MONOMER	G3O-33143	P53921	Unknown	
G3O-29908-MONOMER	G3O-29908	Q06333	CNo-Like	
YIR034C-MONOMER	YIR034C	P38998		
G3O-29084-MONOMER	G3O-29084	P38271	Overproduction-induced Pheromone-resistant Yeast	
G3O-31353-MONOMER	G3O-31353	P40496	Ribosomal Small subunit of Mitochondria	
G3O-33539-MONOMER	G3O-33539	Q12517	mRNA DeCaPping	
G3O-32881-MONOMER	G3O-32881	P05745	Ribosomal Protein of the Large subunit	
G3O-31481-MONOMER	G3O-31481	P38624	PRoteinase yscE	
G3O-33286-MONOMER	G3O-33286	P48562	CLn Activity dependant	
G3O-33942-MONOMER	G3O-33942	Q12505	Suppressor Kinase of SNF3	
G3O-30050-MONOMER	G3O-30050	Q03050	seriPAUperin	
G3O-29249-MONOMER	G3O-29249	Q3E790	Temperature-sensitive Suppressors of Csg2 mutants	
G3O-30333-MONOMER	G3O-30333	P32641	RADiation sensitive	
G3O-29497-MONOMER	G3O-29497	Q12066	NUclear Rim1	
G3O-33684-MONOMER	G3O-33684	P13188	glutamine tRNA synthetase	
G3O-30749-MONOMER	G3O-30749	P53215	tRNA<sup>His</sup> guanylyltransferase monomer	tRNA(His) guanylyltransferase, tRNA-histidine guanylyltransferase
G3O-31627-MONOMER	G3O-31627	P39540	3-ketoacyl-CoA synthase ELO1	
G3O-34084-MONOMER	G3O-34084	Q08930	Unknown	
G3O-31889-MONOMER	G3O-31889	P34247	U Three Protein	
G3O-34313-MONOMER	G3O-34313	P32349	RNA Polymerase C	
G3O-30520-MONOMER	G3O-30520	Q8TGU2	Unknown	
G3O-29641-MONOMER	G3O-29641	P0CX47	Ribosomal Protein of the Small subunit	
G3O-32281-MONOMER	G3O-32281	Q12168	Assembly Complementing Factor	
YER133W-MONOMER	YER133W	P32598	protein phosphatase type I	
G3O-30893-MONOMER	G3O-30893	P53303	Zinc finger PRotein	
G3O-32031-MONOMER	G3O-32031	P36146	Lethal in the Absence of SSD1-v	
G3O-31174-MONOMER	G3O-31174	P38841	Unknown	
MONOMER3O-59	YOR108W	Q12166	LEUcine biosynthesis	
G3O-28931-MONOMER	G3O-28931	P38202	Unknown	
G3O-32718-MONOMER	G3O-32718	Q03687	Unknown	
G3O-32424-MONOMER	G3O-32424	Q06143	DIcarboxylate Carrier	
YIL111W-MONOMER	YIL111W	P00425	cytochrome c oxidase chain Vb	
YNL045W-MONOMER	YNL045W	Q10740	leukotriene A4 hydrolase	
G3O-31336-MONOMER	G3O-31336	P0CX32	Ribosomal Protein of the Small subunit	
G3O-33127-MONOMER	G3O-33127	P50946	Oxidant-induced Cell-cycle Arrest	
G3O-29892-MONOMER	G3O-29892	Q05473	Unknown	
G3O-32865-MONOMER	G3O-32865	Q03218	Mitochondrial Metal Transporter	
G3O-29068-MONOMER	G3O-29068	P38264	PHOsphate metabolism	
G3O-33270-MONOMER	G3O-33270	P53836	CCR4 Associated Factor	
G3O-33523-MONOMER	G3O-33523	Q12222	Yeast homolog of Glycogen synthase Kinase	
G3O-30034-MONOMER	G3O-30034	Q12034	SuLFide production	
G3O-31448-MONOMER	G3O-31448	P40578	Multicopy suppressor of GAm1 (snf2)	
G3O-29211-MONOMER	G3O-29211	P38358	Vacuolar Basic Amino acid transporter	
G3O-33667-MONOMER	G3O-33667	Q12487	Mitochondrial Ribosomal Protein, Large subunit	
G3O-33926-MONOMER	G3O-33926	Q12308	Transcription Factor C	
G3O-31611-MONOMER	G3O-31611	P32591	SWItching deficient	
G3O-30316-MONOMER	G3O-30316	P39960	Bud EMergence	
G3O-29481-MONOMER	G3O-29481	P14066	Cytochrome B Synthesis	
G3O-34068-MONOMER	G3O-34068	P36534	Mitochondrial Ribosomal Protein, Large subunit	
G3O-30733-MONOMER	G3O-30733	P53201	SWr Complex	
G3O-30492-MONOMER	G3O-30492	P43617	YFR045W	
G3O-29625-MONOMER	G3O-29625	Q03446	Resistance to Congo Red	
G3O-31873-MONOMER	G3O-31873	P36009	DEAH-box RNA helicase	
G3O-34297-MONOMER	G3O-34297	Q06214	Jumonji domain Interacting Protein	
G3O-30876-MONOMER	G3O-30876	P41895	Transcription Factor G	
G3O-32265-MONOMER	G3O-32265	P32329	YaPSin	
G3O-32015-MONOMER	G3O-32015	P36137	Ulp1 Interacting Protein	
MONOMER3O-4032	YHR163W	P38858	6-phosphogluconolactonase	
YER024W-MONOMER	YER024W	P40017	carnitine acetyltransferase	
G3O-31158-MONOMER	G3O-31158	P38824	Cytochrome OXidase	
G3O-32408-MONOMER	G3O-32408	P49167	Ribosomal Protein of the Large subunit	
YHR204W-MONOMER	YHR204W	P38888	(mannosyl)<sub>8</sub>(<i>N</i>-acetylglucosaminyl)<sub>2</sub> &alpha;-1,2-mannosidase	ER degradation-enhancing alpha-mannosidase-like protein 1
G3O-28914-MONOMER	G3O-28914	P32479	HIstone Regulation	
G3O-32701-MONOMER	G3O-32701	Q00582	GTp binding protein Resemblance	
G3O-31320-MONOMER	G3O-31320	P40526	polyprenol reductase	Defective for Filamentous Growth
G3O-32849-MONOMER	G3O-32849	Q03818	AuTophaGy related	
YMR250W-MONOMER	YMR250W	Q04792		
G3O-33111-MONOMER	G3O-33111	P14242	PostMeiotic Segregation	
YPR145W-MONOMER	YPR145W	P49089	asparagine synthetase (glutamine-hydrolyzing) 1	
G3O-29876-MONOMER	G3O-29876	Q06675	MiniChromosome Maintenance	
G3O-33254-MONOMER	G3O-33254	P53847	Dependence on SLy1-20	
G3O-29052-MONOMER	G3O-29052	P18238	ADP/ATP Carrier	
G3O-30018-MONOMER	G3O-30018	P23643	Vacuolar Protein Sorting	
G3O-33507-MONOMER	G3O-33507	P41912	Suppressor of Hyperactive Ras	
G3O-29195-MONOMER	G3O-29195	P38147	CHeckpoint Kinase	
G3O-31432-MONOMER	G3O-31432	P38637	Sec Twenty-three Suppressor 1	
G3O-33651-MONOMER	G3O-33651	Q01476	UBiquitin-specific Protease	
G3O-31595-MONOMER	G3O-31595	P34110	Vacuolar Protein Sorting	
G3O-33907-MONOMER	G3O-33907	Q8TGS1	YOR032W-A	
G3O-34052-MONOMER	G3O-34052	Q12498	Pheromone-Regulated Membrane protein	
G3O-30300-MONOMER	G3O-30300	P40084	Regulator of TRanscription	
G3O-30475-MONOMER	G3O-30475	P43604	Upr-L-Inducible gene	
G3O-29465-MONOMER	G3O-29465	Q12408	Niemann Pick type C homolog	
G3O-30717-MONOMER	G3O-30717	P53063	Rat1p Interacting Protein	
G3O-29607-MONOMER	G3O-29607	P09932	HOmothallic switching endonuclease	
G3O-31857-MONOMER	G3O-31857	P32774	TOA2	
G3O-30860-MONOMER	G3O-30860	P53289	RTS3	
G3O-34281-MONOMER	G3O-34281	Q12207	NonClassical Export	
G3O-31999-MONOMER	G3O-31999	P36119	Unknown	
G3O-32249-MONOMER	G3O-32249	Q12385	Increased Copper Tolerance	
MONOMER3O-363	YNR050C	P38999	saccharopine dehydrogenase (NADP+, L-glutamate-forming)	saccharopine reductase
YEL002C-MONOMER	YEL002C	P33767	oligosaccharyl transferase complex &beta; subunit	wheat germ agglutinin binding protein
G3O-32391-MONOMER	G3O-32391	Q05900	Yeast Homolog of human U1C	
YHR072W-MONOMER	YHR072W	P38604	2,3-oxidosqualene-lanosterol cyclase	
G3O-31142-MONOMER	G3O-31142	P38809	Unknown	
G3O-28892-MONOMER	G3O-28892	Q6B2U8	Topoisomerase I Damage Affected	
G3O-31304-MONOMER	G3O-31304	P40537	Ubiquitin-Like Protein	
G3O-32685-MONOMER	G3O-32685	Q04201	Coupling of Ubiquitin conjugation to ER degradation	
G3O-32833-MONOMER	G3O-32833	P40210	Snf1 Interacting Protein	
YMR101C-MONOMER	YMR101C	Q03175	dehydrodolichyl diphosphate syntase SRT1 subunit	
YPL214C-MONOMER	YPL214C	P41835	TMP diphosphorylase/hydroxyethylthiazole kinase	
G3O-33238-MONOMER	G3O-33238	P23503	Nuclear Architecture Related	
G3O-33095-MONOMER	G3O-33095	P53943	Acids Quinidine Resistance	
G3O-29860-MONOMER	G3O-29860	Q06631	BreFeldin A Resistance	
G3O-30002-MONOMER	G3O-30002	Q03362	Unknown	
G3O-29035-MONOMER	G3O-29035	P38082	Negative Regulator of Glucose-controlled genes	
G3O-29179-MONOMER	G3O-29179	P38334	TRapp Subunit	
G3O-33491-MONOMER	G3O-33491	Q12411	SPOrulation	
G3O-33635-MONOMER	G3O-33635	Q12057	Psi+ INducibility	
G3O-31410-MONOMER	G3O-31410	P40446	Unknown	
G3O-31579-MONOMER	G3O-31579	P12685	TRansport of potassium (K)	
G3O-30283-MONOMER	G3O-30283	P40074	Amino acid Vacuolar Transport	
G3O-34036-MONOMER	G3O-34036	Q03012	Set1c, Phd finger Protein	
G3O-29449-MONOMER	G3O-29449	Q03465	Regulatory Particle Non-ATPase	
G3O-30459-MONOMER	G3O-30459	P43590	YFR006W	
G3O-30701-MONOMER	G3O-30701	P53076	Vacuolar Import and Degradation	
G3O-29591-MONOMER	G3O-29591	Q12046	Complexed With Cef1p	
G3O-31841-MONOMER	G3O-31841	P32860	NifU-like protein	
G3O-30843-MONOMER	G3O-30843	P53283	Transporter of POlyamines	
G3O-34265-MONOMER	G3O-34265	Q06497	Adenine Nucleotide Transporter	
G3O-31983-MONOMER	G3O-31983	Q02203	Unknown	
G3O-32233-MONOMER	G3O-32233	Q12020	Suppressor of Rad53 null Lethality	
MONOMER3O-271	G3O-270	P40030	Erg28p	ERGosterol biosynthesis
G3O-32375-MONOMER	G3O-32375	Q06218	Dead Box Protein	
YDR376W-MONOMER	YDR376W	P48360	adrenodoxin oxidoreductase	
G3O-31126-MONOMER	G3O-31126	P32361	Inositol REquiring	
YHL012W-MONOMER	YHL012W		UTP glucose-1-phosphate uridylyltransferase	
G3O-28874-MONOMER	G3O-28874	P22209	protein KINase	
G3O-31288-MONOMER	G3O-31288	P40552	TIp1-Related	
G3O-32669-MONOMER	G3O-32669	Q03630	Blocked Early in Transport	
G3O-32817-MONOMER	G3O-32817	P39523	Endoplasmic reticulum POlarization	
YML078W-MONOMER	YML078W	P25719	cyclophilin	
YOR381W-MONOMER	YOR381W	Q08905	ferric reductase	
G3O-33079-MONOMER	G3O-33079	P53633	YIP3	
G3O-33222-MONOMER	G3O-33222	P11938	Repressor Activator Protein	
G3O-29844-MONOMER	G3O-29844	Q05635	RNase H	
G3O-29986-MONOMER	G3O-29986	Q03281	Helix-Extension-Helix domain	
G3O-29019-MONOMER	G3O-29019	P38231	Found in Mitochondrial Proteome	
G3O-29163-MONOMER	G3O-29163	P38326	SWr Complex	
G3O-33475-MONOMER	G3O-33475	Q08229	Nap1p and Bud neck Associated	
G3O-33619-MONOMER	G3O-33619	Q12416	WHIskey	
G3O-33843-MONOMER	G3O-33843	Q08904	Repressor of Drug Resistance	
G3O-31561-MONOMER	G3O-31561	P42947	Unknown	
G3O-30267-MONOMER	G3O-30267	P0CX40	Ribosomal Protein of the Small subunit	
G3O-34020-MONOMER	G3O-34020	P32489	MEIosis-specific	
G3O-29433-MONOMER	G3O-29433	Q03435	Non-Histone Protein	
G3O-30443-MONOMER	G3O-30443	P43579	Ino Eighty Subunit	
G3O-30685-MONOMER	G3O-30685	P34164	SNF1-Interacting Protein	
G3O-29575-MONOMER	G3O-29575	P54860	Ubiquitin Fusion Degradation	
G3O-31825-MONOMER	G3O-31825	P30902	ATP synthase	
G3O-30827-MONOMER	G3O-30827	P53271	Conserved Oligomeric Golgi complex	
G3O-34249-MONOMER	G3O-34249	Q06104	YPR109W	
G3O-31967-MONOMER	G3O-31967	P36038	Cytochrome B Termination	
G3O-32217-MONOMER	G3O-32217	Q12144	Pore and ER protein, 33 kDa	
MONOMER3O-182	G3O-29701	Q03835	oxidized glutaredoxin 3	
YDR232W-MONOMER	YDR232W	P09950	5-aminolevulinate synthase	
G3O-32359-MONOMER	G3O-32359	P0CE41	Heme Activator Protein	
G3O-31110-MONOMER	G3O-31110	P38781	Remodel the Structure of Chromatin	
YGR204W-MONOMER	YGR204W	P07245	cytoplasmic C1-tetrahydrofolate synthase	
G3O-28856-MONOMER	G3O-28856	P39721	Altered Inheritance rate of Mitochondria	
G3O-31271-MONOMER	G3O-31271	Q8TGT4	Unknown	
G3O-32653-MONOMER	G3O-32653	Q04964	Suppressor of Mec1 Lethality	
G3O-32801-MONOMER	G3O-32801	Q03177	Unknown	
YOR221C-MONOMER	YOR221C	Q12283	malonyl-CoA:ACP transferase	
YLR420W-MONOMER	YLR420W	P20051	dihydrooratase	
G3O-33063-MONOMER	G3O-33063	P47821	Suppressor of SNf1	
G3O-33206-MONOMER	G3O-33206	P40167	SLZ1	
G3O-29970-MONOMER	G3O-29970	Q01560	Nuclear Protein Localization	
G3O-29828-MONOMER	G3O-29828	Q12504	Ribosomal lysine (K) Methyltransferase	
G3O-29003-MONOMER	G3O-29003	P38218	ADP-ribose 1''-phosphate phosphatase	
G3O-29147-MONOMER	G3O-29147	P38312	ER Vesicle Protein	
G3O-33458-MONOMER	G3O-33458	Q08215	PEroXisome related	
G3O-33602-MONOMER	G3O-33602	P36025	Unknown	
G3O-33827-MONOMER	G3O-33827	Q08822	Changed Intracellular Redox state	
G3O-31543-MONOMER	G3O-31543	P09880	tRNA ligase	
G3O-30251-MONOMER	G3O-30251	P40053	Altered Inheritance rate of Mitochondria	
G3O-34004-MONOMER	G3O-34004	Q02884	ELongator Protein	
G3O-30427-MONOMER	G3O-30427	P43563	Mps One Binder	
G3O-29414-MONOMER	G3O-29414	P87012	Unknown	
G3O-29559-MONOMER	G3O-29559	P32770	N (asparagine)-Rich Protein	
G3O-30669-MONOMER	G3O-30669	P53102	Meiotic Nuclear Divisions	
G3O-30811-MONOMER	G3O-30811	P53259	Processing of Cytochrome c Peroxidase	
G3O-31808-MONOMER	G3O-31808	Q8TGT3	Unknown	
G3O-34233-MONOMER	G3O-34233	Q06833	Nucleus-Vacuole Junction	
G3O-31951-MONOMER	G3O-31951	P34230	PeroXisomal ABC-transporter	
MONOMER3O-1014	YDR502C	P19358	Sam2	
YDR047W-MONOMER	YDR047W	P32347	uroporphyrinogen decarboxylase	
G3O-31094-MONOMER	G3O-31094	P38768	Protein Interacting with Hsp90	
G3O-32343-MONOMER	G3O-32343	P19073	Cell Division Cycle	
G3O-32204-MONOMER	G3O-32204	P46654	Ribosomal Protein of the Small subunit	
YGR088W-MONOMER	YGR088W	P06115	catalase T	
G3O-28840-MONOMER	G3O-28840	P32492	MYOsin	
G3O-31236-MONOMER	G3O-31236	P38894	FLOcculation	
G3O-28993-MONOMER	G3O-28993	P38212	Resistance to Congo Red	
G3O-32634-MONOMER	G3O-32634	Q03707	Spliced mRNA and Cell cycle regulated gene	
YLR299W-MONOMER	YLR299W	Q05902	&gamma;-glutamyltransferase	&gamma;-glutamyl transpeptidase
G3O-32785-MONOMER	G3O-32785	P0CF18	Unknown	
YOR128C-MONOMER	YOR128C	P21264	phosphoribosylaminoimidazole carboxylase	AIR carboxylase
G3O-29812-MONOMER	G3O-29812	P36519	Mitochondrial Ribosomal Protein, Large subunit	
G3O-33442-MONOMER	G3O-33442	Q08176	Mitochondrial IMport	
G3O-33190-MONOMER	G3O-33190	P05750	Ribosomal Protein of the Small subunit	
G3O-29954-MONOMER	G3O-29954	Q12743	Der1-like Family Member	
G3O-33811-MONOMER	G3O-33811	P22023	Killer toxin REsistant	
G3O-30235-MONOMER	G3O-30235	Q02771	PETite colonies	
G3O-29131-MONOMER	G3O-29131	P38302	Prp19p (NineTeen)-associated Complex	
G3O-29386-MONOMER	G3O-29386	P25336	MutS Homolog	
G3O-33586-MONOMER	G3O-33586	Q08412	Coupling of Ubiquitin conjugation to ER degradation	
G3O-30653-MONOMER	G3O-30653	P53107	Yeast Ran Binder	
G3O-31527-MONOMER	G3O-31527	P40364	Mitochondrial Peculiar Membrane protein	
G3O-33988-MONOMER	G3O-33988	P32333	Modifier of Transcription	
G3O-31762-MONOMER	G3O-31762	P47177	Unknown	
G3O-34217-MONOMER	G3O-34217	Q12321	MEDiator complex	
G3O-30411-MONOMER	G3O-30411	P43548	high-Affinity Glutamine Permease	
G3O-29543-MONOMER	G3O-29543	Q12342	Low Dye Binding	
YDL168W-MONOMER	YDL168W	P32771	S-(hydroxymethyl)glutathione dehydrogenase subunit	
G3O-31078-MONOMER	G3O-31078	P32793	YSC84	
G3O-30795-MONOMER	G3O-30795	P12754	General Control Derepressed	
G3O-32187-MONOMER	G3O-32187	Q01590	Suppressor of Erd2 Deletion	
G3O-31935-MONOMER	G3O-31935	P32388	Mitochondrial Ribosomal Protein	
G3O-28824-MONOMER	G3O-28824	P31376	SWr Complex	
G3O-32327-MONOMER	G3O-32327	P24871	CycLin B	
G3O-32618-MONOMER	G3O-32618	P49957	tRNA (carboxymethyluridine<small><sup>34</sup></small>-5-<em>O</em>)-methyltransferase	tRNA (uracil-5-)-methyltransferase TRM9, tRNA [Um34] methyltransferase, tRNA (carboxymethyluridine<sup>34</sup>-5-<i>O</i>)-methyltransferase
YGL234W-MONOMER	YGL234W	P07244	ADEnine requiring	
G3O-31220-MONOMER	G3O-31220	P38878	LuNaPark family member	
YLR180W-MONOMER	YLR180W	P10659	Sam1	
G3O-28977-MONOMER	G3O-28977	P38110	TELomere maintenance	
G3O-29796-MONOMER	G3O-29796	Q12449	Activator of Heat shock protein 90 ATPase	
G3O-33029-MONOMER	G3O-33029	Q8TGT0	Unknown	
G3O-32769-MONOMER	G3O-32769	P54730	UBiquitin regulatory X	
G3O-33426-MONOMER	G3O-33426	Q92328	Mitochondrial Distribution and Morphology	
YOL136C-MONOMER	YOL136C	Q12471	6-phosphofructo-2-kinase	
G3O-30218-MONOMER	G3O-30218	P40025	PHosphate Metabolism	
G3O-33174-MONOMER	G3O-33174	P53896	Processing of Gas1p and ALP	
G3O-29370-MONOMER	G3O-29370	P25365	Suppressor of Erd2 Deletion	
G3O-29938-MONOMER	G3O-29938	P52488	UBiquitin Activating	
G3O-29115-MONOMER	G3O-29115	P38290	UBiquitin-conjugating enzyme Suppressor	
G3O-30637-MONOMER	G3O-30637	P30775	Mitochondrial peptide chain Release Factor	
G3O-33798-MONOMER	G3O-33798	P32798	CObalt Toxicity	
G3O-33570-MONOMER	G3O-33570	Q12204	YOR022C	
G3O-31746-MONOMER	G3O-31746	P47160	Epsin N-Terminal homology	
G3O-31511-MONOMER	G3O-31511	P47050	Regulator of Ty1 Transposition	
G3O-34201-MONOMER	G3O-34201	Q12262	MiniChromosome Maintenance	
G3O-33972-MONOMER	G3O-33972	Q02776	Translocase of the Inner Mitochondrial membrane	
G3O-29757-MONOMER	G3O-29757	P06101	Cell Division Cycle	
G3O-30392-MONOMER	G3O-30392	Q3E834	Yip One Suppressor	
